-1      |BT| (is (form (full)(the)(of))(What)) |ET| 
-1      |BT| (? (com)) |ET| 
-1      |BT| (is (What)(abbreviation (the)(name (Motors (General))(the)(company)))) |ET| 
-1      |BT| (does (G.M.T.)(stand (for))(What)) |ET| 
-1      |BT| (does (SIDS)(stand (for))(What)) |ET| 
-1      |BT| (does (for)(what)(When (reading (ads (classified))))(EENTY (stand (other)))) |ET| 
-1      |BT| (is (What)(expression (abbreviated)(the)(Bureau (the)(National)(Investigation)))) |ET| 
-1      |BT| (does (NAFTA)(stand (for))(What)) |ET| 
-1      |BT| (is (What)(name (full)(the)(PLO (the)))) |ET| 
-1      |BT| (does (LASER (the)(word))(mean)(What)) |ET| 
-1      |BT| (does (mean (when (used (prefix (a)(surnames (Irish))))))(O (NN))(What)) |ET| 
-1      |BT| (does (Miss (Mrs.)(Ms.))(stand (for))(What)) |ET| 
-1      |BT| (does (AIDS (the)(abbreviation))(stand (for))(What)) |ET| 
-1      |BT| (does (cwt (the)(abbreviation))(What)) |ET| 
-1      |BT| (do (ZIP)(letters (the))(stand (in (code (the)(phrase)(ZIP))))(What)) |ET| 
-1      |BT| (do (D.C.)(letters (the))(stand (for (D.C. (Washington))))(What)) |ET| 
-1      |BT| (does (e.g.)(stand (for))(What)) |ET| 
-1      |BT| (does (IBM)(stand (for))(What)) |ET| 
-1      |BT| (does (stand (for))(U.S.S.R.)(What)) |ET| 
-1      |BT| (does (mean)(NECROSIS)(What)) |ET| 
-1      |BT| (is (What)(abbreviation (the)(Motors (General)))) |ET| 
-1      |BT| (does (CNN)(stand (for))(What)) |ET| 
-1      |BT| ('s (abbreviation (the))(What)(trinitrotoluene)) |ET| 
-1      |BT| (is (IOC)(What)(abbreviation (an)(of))) |ET| 
-1      |BT| (is (What)(form (abbreviated)(the)(Bureau (the)(National)(Investigation)))) |ET| 
-1      |BT| (does (What)(stand (c)(mc2 (=))(the)(for (E (the)(equation))))) |ET| 
-1      |BT| (is (What)(port (a)(USB)(computer (a)))) |ET| 
-1      |BT| (does (LOL)(mean)(What)) |ET| 
-1      |BT| (does (IOC)(stand (for))(What)) |ET| 
-1      |BT| (is (acronym (the))(What)(Bureau (the)(National)(Investigation))) |ET| 
-1      |BT| (is (term (abbreviated)(the))(used (Bureau (the)(National)(Investigation)))(What)) |ET| 
-1      |BT| (is (RCD)(What)) |ET| 
-1      |BT| (does (S.O.S.)(stand (for))(What)) |ET| 
-1      |BT| (does (SHIELD)(stand (for))(What)) |ET| 
-1      |BT| ('s (abbreviation (the))(What)(partnership (limited))) |ET| 
-1      |BT| (does (IOC)(abbreviation (the))(stand (for))(What)) |ET| 
-1      |BT| (is (What)(abbreviation (the)(Bureau (the)(National)(Investigation)))) |ET| 
-1      |BT| (is (HTML)(What)) |ET| 
-1      |BT| (does (A (&)(W)(fame (beer)(root)))(stand (for))(What)) |ET| 
-1      |BT| (is (AFS)(What)) |ET| 
-1      |BT| (is (DEET)(What)) |ET| 
-1      |BT| (is (DTMF)(What)) |ET| 
-1      |BT| (does (JESSICA)(mean)(What)) |ET| 
-1      |BT| (is (abbreviation (the)(what))(CNN)) |ET| 
-1      |BT| (does (MSG)(stand (for))(What)) |ET| 
